CourseCode,CourseName,College,Survey1_Median,Survey1_Std,Survey1_Q1,Survey1_Q3,Survey2_Median,Survey2_Std,Survey2_Q1,Survey2_Q3,Survey3_Median,Survey3_Std,Survey3_Q1,Survey3_Q3,Survey4_Median,Survey4_Std,Survey4_Q1,Survey4_Q3,Survey5_Median,Survey5_Std,Survey5_Q1,Survey5_Q3,Survey6_Median,Survey6_Std,Survey6_Q1,Survey6_Q3,Survey7_Median,Survey7_Std,Survey7_Q1,Survey7_Q3
KMD02115,거시경제학원론,방목기초교육대학,3.0,1.1960300183850106,3.0,4.0,4.0,1.0853795559562587,3.0,5.0,4.0,1.1497613750305735,3.0,5.0,4.0,1.0054728289496926,3.0,5.0,4.0,0.9987797432916609,4.0,5.0,4.0,1.1666085932120067,3.0,5.0,4.0,1.1576890352935993,3.0,5.0
KMD02116,청소년지도학,방목기초교육대학,4.0,0.7997747430618446,3.0,4.0,4.0,0.8091073196150527,3.0,5.0,4.0,0.739287864465897,4.0,5.0,4.0,0.8292693697995166,3.0,5.0,4.0,0.7503752814845803,4.0,5.0,4.0,0.7691499149005945,4.0,5.0,4.0,0.8044545649986375,4.0,5.0
KMD02119,사회복지실천론,방목기초교육대학,3.0,1.12006493318265,3.0,4.0,4.0,0.9244162777371754,3.0,4.0,4.0,0.7862453931068966,3.0,4.0,4.0,0.7862453931068966,3.0,4.0,3.0,1.1037127426019047,3.0,5.0,4.0,0.9438798074485388,3.0,5.0,4.0,0.8312094145936334,3.0,4.5
KMD02120,기업과경영,방목기초교육대학,2.5,0.5477225575051661,2.0,3.0,3.0,0.5163977794943222,3.0,3.75,3.0,0.816496580927726,3.0,3.0,3.0,0.6324555320336759,3.0,3.0,3.5,0.5477225575051661,3.0,4.0,3.0,0.8366600265340756,3.0,3.75,3.5,0.5477225575051661,3.0,4.0
KMD02121,사회복지개론,방목기초교육대학,3.0,0.9926198253344827,3.0,4.0,4.0,0.8488746876271654,3.0,4.0,4.0,0.9195587176978518,3.0,4.0,4.0,0.939336436627724,3.0,4.0,4.0,0.7905694150420948,3.0,5.0,4.0,0.8269362305593851,3.0,5.0,4.0,0.8993461677306268,3.0,5.0
KMD02122,인간행동과사회환경,대학,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0
KMD02123,경제학원론,방목기초교육대학,3.0,1.0329269272737984,3.0,4.0,4.0,0.7673811391703668,3.0,4.5,4.0,0.7764628888878019,3.0,4.0,4.0,0.8448101598829879,3.0,4.0,4.0,0.7971568655508706,3.0,5.0,4.0,0.8551861104941367,4.0,5.0,4.0,0.8698684897770526,3.0,5.0
KMD02124,시장경제와법,방목기초교육대학,3.0,1.020835571068081,2.75,4.0,3.0,0.8825799501580878,3.0,4.0,4.0,0.910465468000326,3.0,4.25,3.0,0.8271701918685109,3.0,4.0,3.5,0.9880869341680842,3.0,4.25,4.0,1.0563093645728086,3.0,5.0,4.0,0.9665456669582609,3.0,4.25
KMD02125,직업생활과법,방목기초교육대학,3.0,0.8840866447369845,3.0,4.0,4.0,0.8136762043449726,3.0,4.0,3.5,0.770132097938959,3.0,4.0,3.0,0.8136762043449725,3.0,4.0,4.0,0.7396799556440673,3.0,4.0,4.0,0.8276819867946672,3.0,4.0,4.0,0.8583598366625749,3.0,4.0
KMD02126,생활법률,방목기초교육대학,3.0,0.9813384788563188,3.0,4.0,4.0,0.772423883280537,4.0,5.0,4.0,0.9321521136730904,3.0,5.0,4.0,0.9744638689724586,3.0,5.0,5.0,0.6981367759853317,4.0,5.0,5.0,0.7356469741582814,4.0,5.0,4.0,0.7413365173339118,4.0,5.0
KMD02128,지적재산과현대사회,방목기초교육대학,3.0,0.9346217344793908,3.0,4.0,4.0,0.936733876686023,3.0,5.0,4.0,1.1228844843604313,3.0,4.0,3.0,0.8221248859286776,3.0,4.0,4.0,0.8481554037632528,3.0,5.0,4.0,0.7385489458759965,3.5,4.5,4.0,0.8481554037632528,3.0,5.0
